fid,Facility,X,Y,Province,Hydro_MW,NHN_Work_U,GRanD_ID,HydroLAKES_ID,GINDEX,GINDEX_CONUS,Basin_Note,WECC_ADS_2032,Intake_Flow_Rate,Type,Water_License
145,Strathcona,-125.5855777,49.998082,British Columbia,64,08HD001,25,7959,8227,,,,98.68,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=55477290
149,Taylor Coulee,-112.8871494,49.3336487,Alberta,12.7,05AE000,285,101559,6568,,,,,run-of-river?,X
150,Tennant Lake,-125.6214636,49.5674263,British Columbia,3.1,08HD001,,972381,7170,,,X,,,
152,Thelwood,-125.5642487,49.5424381,British Columbia,8.2,08HD001,,972992,7171,,,X,,,
153,Three Sisters,-115.3746398,50.9984958,Alberta,3,05BC000,260,7658,11124,,,,21.2,reservoir,https://avw.alberta.ca/pdf/00080715-00-00.pdf
154,Tipella Creek,-122.1622222,49.7409178,British Columbia,18,08MG001,,,7549,,,,7.19247,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=62150055
156,Tretheway Creek,-122.0796032,49.70396048,British Columbia,21.2,08MG0X2,,,7198,,,,11.4,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=65568197
158,Upper Bear,-123.5720934,49.7953894,British Columbia,10,08GB0X1,,967380,7891,,,X,,,
159,Upper Bonnington,-117.484182,49.4601133,British Columbia,66,08NHA00,,974194,6884,90540,CRB,,362.45504,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=71658275
160,Upper Clowhom,-123.4461156,49.8542767,British Columbia,11,08GB0X1,,100379,7893,,,,8.40049,run-of-river?,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=48854707
161,Upper Mamquam,-123.0428492,49.71952909,British Columbia,25,08GABX1,,,7543,,,,26.99979,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=54698541
