id,left,top,right,bottom,lon,lat,area,areatotal,areatotal2,GINDEX,DSIG,OUTLETG,MASK,NLDAS_ID
26230,-114.750000000000000,53.375000000000000,-114.625000000000000,53.250000000000000,-114.687500000000000,53.312500000000000,115430772.124530613422394,22531280000.000000000000000,20719603579.548866271972656,17818,17819,18303,1,x219y51
26231,-114.750000000000000,53.250000000000000,-114.625000000000000,53.125000000000000,-114.687500000000000,53.187500000000000,115768508.061511665582657,1178140000.000000000000000,1394276000.582074403762817,17466,17818,18303,1,x219y50
26232,-114.750000000000000,53.125000000000000,-114.625000000000000,53.000000000000000,-114.687500000000000,53.062500000000000,116105692.981484830379486,93400000.000000000000000,116105692.981484830379486,17114,17466,18303,1,x219y49
26233,-114.750000000000000,53.000000000000000,-114.625000000000000,52.875000000000000,-114.687500000000000,52.937500000000000,116442325.279539749026299,63650000.000000000000000,116442325.279539749026299,16762,16761,18303,1,x219y48
26234,-114.750000000000000,52.875000000000000,-114.625000000000000,52.750000000000000,-114.687500000000000,52.812500000000000,116778403.353440448641777,45670000.000000000000000,116778403.353440448641777,16410,16059,18303,1,x219y47
26235,-114.750000000000000,52.750000000000000,-114.625000000000000,52.625000000000000,-114.687500000000000,52.687500000000000,117113925.603566139936447,78550000.000000000000000,117113925.603566139936447,16058,16059,18303,1,x219y46
26236,-114.750000000000000,52.625000000000000,-114.625000000000000,52.500000000000000,-114.687500000000000,52.562500000000000,117448890.432960584759712,51150000.000000000000000,117448890.432960584759712,15706,15707,18303,1,x219y45
26237,-114.750000000000000,52.500000000000000,-114.625000000000000,52.375000000000000,-114.687500000000000,52.437500000000000,117783296.247302532196045,318740000.000000000000000,353015482.927565634250641,15354,15003,18303,1,x219y44
26238,-114.750000000000000,52.375000000000000,-114.625000000000000,52.250000000000000,-114.687500000000000,52.312500000000000,118117141.454945027828217,418700000.000000000000000,354684707.376785874366760,15002,15003,18303,1,x219y43
26239,-114.750000000000000,52.250000000000000,-114.625000000000000,52.125000000000000,-114.687500000000000,52.187500000000000,118450424.466895774006844,97840000.000000000000000,118450424.466895774006844,14650,15002,18303,1,x219y42
26240,-114.750000000000000,52.125000000000000,-114.625000000000000,52.000000000000000,-114.687500000000000,52.062500000000000,118783143.696856424212456,188500000.000000000000000,118783143.696856424212456,14298,14299,18303,1,x219y41
26241,-114.750000000000000,52.000000000000000,-114.625000000000000,51.875000000000000,-114.687500000000000,51.937500000000000,119115297.561183303594589,882320000.000000000000000,1073364025.721741318702698,13946,13947,18303,1,x219y40
26242,-114.750000000000000,51.875000000000000,-114.625000000000000,51.750000000000000,-114.687500000000000,51.812500000000000,119446884.478956177830696,3457740000.000000000000000,3717075803.021000862121582,13594,13947,18303,1,x219y39
26243,-114.750000000000000,51.750000000000000,-114.625000000000000,51.625000000000000,-114.687500000000000,51.687500000000000,119777902.871938988566399,658860000.000000000000000,480102956.365737378597260,13242,13594,18303,1,x219y38
26244,-114.750000000000000,51.625000000000000,-114.625000000000000,51.500000000000000,-114.687500000000000,51.562500000000000,120108351.164599448442459,294070000.000000000000000,120108351.164599448442459,12890,12891,18303,1,x219y37
26245,-114.750000000000000,51.500000000000000,-114.625000000000000,51.375000000000000,-114.687500000000000,51.437500000000000,120438227.784118935465813,489980000.000000000000000,361314683.352356791496277,12538,12891,18303,1,x219y36
26246,-114.750000000000000,51.375000000000000,-114.625000000000000,51.250000000000000,-114.687500000000000,51.312500000000000,120767531.160402297973633,39180000.000000000000000,120767531.160402297973633,12186,12187,18303,1,x219y35
26247,-114.750000000000000,51.250000000000000,-114.625000000000000,51.125000000000000,-114.687500000000000,51.187500000000000,121096259.726087644696236,6567660000.000000000000000,6780995494.123815536499023,11834,11835,18303,1,x219y34
26248,-114.750000000000000,51.125000000000000,-114.625000000000000,51.000000000000000,-114.687500000000000,51.062500000000000,121424411.916536614298820,248480000.000000000000000,364273235.749609827995300,11482,11483,18303,1,x219y33
26249,-114.750000000000000,51.000000000000000,-114.625000000000000,50.875000000000000,-114.687500000000000,50.937500000000000,121751986.169853940606117,710720000.000000000000000,854224709.626108169555664,11130,11131,18303,1,x219y32
26250,-114.750000000000000,50.875000000000000,-114.625000000000000,50.750000000000000,-114.687500000000000,50.812500000000000,122078980.926917016506195,271220000.000000000000000,122078980.926917016506195,10778,10427,18303,1,x219y31
26251,-114.750000000000000,50.750000000000000,-114.625000000000000,50.625000000000000,-114.687500000000000,50.687500000000000,122405394.631356149911880,251720000.000000000000000,122405394.631356149911880,10426,10427,18303,1,x219y30
26252,-114.750000000000000,50.625000000000000,-114.625000000000000,50.500000000000000,-114.687500000000000,50.562500000000000,122731225.729525178670883,204930000.000000000000000,245462451.459050357341766,10074,10427,18303,1,x219y29
26253,-114.750000000000000,50.500000000000000,-114.625000000000000,50.375000000000000,-114.687500000000000,50.437500000000000,123056472.670609489083290,380830000.000000000000000,123056472.670609489083290,9722,9723,18303,1,x219y28
26254,-114.750000000000000,50.375000000000000,-114.625000000000000,50.250000000000000,-114.687500000000000,50.312500000000000,123381133.906537711620331,113160000.000000000000000,369168832.306672334671021,9370,9723,18303,1,x219y27
